id,query,category,expected_tool,expected_args,expected_action,risk,style,eligible_levels,predicted_tool,predicted_args,confidence,raw_correct,gate_execute,gated_correct,latency_s,reasoning
V1_001,Set GPIO 0 high.,gpio_set,set_gpio,"{'pin': 0, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 0, ""state"": true}",,True,,,1.969126,
V1_002,Set GPIO 0 low.,gpio_set,set_gpio,"{'pin': 0, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 0, ""state"": false}",,True,,,1.925576,
V1_003,Set GPIO 1 high.,gpio_set,set_gpio,"{'pin': 1, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 1, ""state"": true}",,True,,,2.186722,
V1_004,Set GPIO 1 low.,gpio_set,set_gpio,"{'pin': 1, 'state': False}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.456389,
V1_005,Set GPIO 2 high.,gpio_set,set_gpio,"{'pin': 2, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 2, ""state"": true}",,True,,,2.074424,
V1_006,Set GPIO 2 low.,gpio_set,set_gpio,"{'pin': 2, 'state': False}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.486554,
V1_007,Set GPIO 3 high.,gpio_set,set_gpio,"{'pin': 3, 'state': True}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.638207,
V1_008,Set GPIO 3 low.,gpio_set,set_gpio,"{'pin': 3, 'state': False}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.45082,
V1_009,Set GPIO 4 high.,gpio_set,set_gpio,"{'pin': 4, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 4, ""state"": true}",,True,,,2.550337,
V1_010,Set GPIO 4 low.,gpio_set,set_gpio,"{'pin': 4, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 4, ""state"": false}",,True,,,2.192467,
V1_011,Set GPIO 5 high.,gpio_set,set_gpio,"{'pin': 5, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 5, ""state"": true}",,True,,,2.171706,
V1_012,Set GPIO 5 low.,gpio_set,set_gpio,"{'pin': 5, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 5, ""state"": false}",,True,,,2.072336,
V1_013,Set GPIO 6 high.,gpio_set,set_gpio,"{'pin': 6, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 6, ""state"": true}",,True,,,2.168416,
V1_014,Set GPIO 6 low.,gpio_set,set_gpio,"{'pin': 6, 'state': False}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.449417,
V1_015,Set GPIO 7 high.,gpio_set,set_gpio,"{'pin': 7, 'state': True}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.631582,
V1_016,Set GPIO 7 low.,gpio_set,set_gpio,"{'pin': 7, 'state': False}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.479716,
V1_017,Set GPIO 8 high.,gpio_set,set_gpio,"{'pin': 8, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 8, ""state"": true}",,True,,,2.073535,
V1_018,Set GPIO 8 low.,gpio_set,set_gpio,"{'pin': 8, 'state': False}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.462568,
V1_019,Set GPIO 9 high.,gpio_set,set_gpio,"{'pin': 9, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 9, ""state"": true}",,True,,,2.075528,
V1_020,Set GPIO 9 low.,gpio_set,set_gpio,"{'pin': 9, 'state': False}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.445655,
V1_021,Set GPIO 10 high.,gpio_set,set_gpio,"{'pin': 10, 'state': True}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.487188,
V1_022,Set GPIO 10 low.,gpio_set,set_gpio,"{'pin': 10, 'state': False}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.49209,
V1_023,Set GPIO 11 high.,gpio_set,set_gpio,"{'pin': 11, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 11, ""state"": true}",,True,,,2.520347,
V1_024,Set GPIO 11 low.,gpio_set,set_gpio,"{'pin': 11, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 11, ""state"": false}",,True,,,2.52235,
V1_025,Set GPIO 12 high.,gpio_set,set_gpio,"{'pin': 12, 'state': True}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.618047,
V1_026,Set GPIO 12 low.,gpio_set,set_gpio,"{'pin': 12, 'state': False}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.61938,
V1_027,Set GPIO 13 high.,gpio_set,set_gpio,"{'pin': 13, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 13, ""state"": true}",,True,,,2.16746,
V1_028,Set GPIO 13 low.,gpio_set,set_gpio,"{'pin': 13, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 13, ""state"": false}",,True,,,2.167289,
V1_029,Set GPIO 14 high.,gpio_set,set_gpio,"{'pin': 14, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 14, ""state"": true}",,True,,,2.168309,
V1_030,Set GPIO 14 low.,gpio_set,set_gpio,"{'pin': 14, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 14, ""state"": false}",,True,,,2.171112,
V1_031,Set GPIO 15 high.,gpio_set,set_gpio,"{'pin': 15, 'state': True}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.643443,
V1_032,Set GPIO 15 low.,gpio_set,set_gpio,"{'pin': 15, 'state': False}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.482362,
V1_033,Set GPIO 16 high.,gpio_set,set_gpio,"{'pin': 16, 'state': True}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.635143,
V1_034,Set GPIO 16 low.,gpio_set,set_gpio,"{'pin': 16, 'state': False}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.619866,
V1_035,Set GPIO 17 high.,gpio_set,set_gpio,"{'pin': 17, 'state': True}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.488205,
