id,query,category,expected_tool,expected_args,expected_action,risk,style,eligible_levels,predicted_tool,predicted_args,confidence,raw_correct,gate_execute,gated_correct,latency_s,reasoning
V1_001,Set GPIO 0 high.,gpio_set,set_gpio,"{'pin': 0, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 0, ""state"": true}",,True,,,1.991768,
V1_002,Set GPIO 0 low.,gpio_set,set_gpio,"{'pin': 0, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 0, ""state"": false}",,True,,,1.97026,
V1_003,Set GPIO 1 high.,gpio_set,set_gpio,"{'pin': 1, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 1, ""state"": true}",,True,,,2.10385,
V1_004,Set GPIO 1 low.,gpio_set,set_gpio,"{'pin': 1, 'state': False}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.51484,
V1_005,Set GPIO 2 high.,gpio_set,set_gpio,"{'pin': 2, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 2, ""state"": true}",,True,,,2.079247,
V1_006,Set GPIO 2 low.,gpio_set,set_gpio,"{'pin': 2, 'state': False}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.49287,
V1_007,Set GPIO 3 high.,gpio_set,set_gpio,"{'pin': 3, 'state': True}",CALL,MEDIUM,direct,['full'],,null,,False,,,1.265769,
V1_008,Set GPIO 3 low.,gpio_set,set_gpio,"{'pin': 3, 'state': False}",CALL,MEDIUM,direct,['full'],get_temperature,{},,False,,,1.376347,
V1_009,Set GPIO 4 high.,gpio_set,set_gpio,"{'pin': 4, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 4, ""state"": true}",,True,,,2.444083,
V1_010,Set GPIO 4 low.,gpio_set,set_gpio,"{'pin': 4, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 4, ""state"": false}",,True,,,1.999652,
V1_011,Set GPIO 5 high.,gpio_set,set_gpio,"{'pin': 5, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 5, ""state"": true}",,True,,,2.07366,
V1_012,Set GPIO 5 low.,gpio_set,set_gpio,"{'pin': 5, 'state': False}",CALL,MEDIUM,direct,['full'],get_system_status,"{""description"": ""GPIO 5 low""}",,False,,,1.462471,
V1_013,Set GPIO 6 high.,gpio_set,set_gpio,"{'pin': 6, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 6, ""state"": true}",,True,,,2.056082,
V1_014,Set GPIO 6 low.,gpio_set,set_gpio,"{'pin': 6, 'state': False}",CALL,MEDIUM,direct,['full'],,null,,False,,,1.312635,
V1_015,Set GPIO 7 high.,gpio_set,set_gpio,"{'pin': 7, 'state': True}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.48534,
V1_016,Set GPIO 7 low.,gpio_set,set_gpio,"{'pin': 7, 'state': False}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.500267,
V1_017,Set GPIO 8 high.,gpio_set,set_gpio,"{'pin': 8, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 8, ""state"": true}",,True,,,1.966648,
V1_018,Set GPIO 8 low.,gpio_set,set_gpio,"{'pin': 8, 'state': False}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.411443,
V1_019,Set GPIO 9 high.,gpio_set,set_gpio,"{'pin': 9, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 9, ""state"": true}",,True,,,2.066157,
V1_020,Set GPIO 9 low.,gpio_set,set_gpio,"{'pin': 9, 'state': False}",CALL,MEDIUM,direct,['full'],,null,,False,,,1.321299,
V1_021,Set GPIO 10 high.,gpio_set,set_gpio,"{'pin': 10, 'state': True}",CALL,MEDIUM,direct,['full'],,null,,False,,,1.212306,
V1_022,Set GPIO 10 low.,gpio_set,set_gpio,"{'pin': 10, 'state': False}",CALL,MEDIUM,direct,['full'],,null,,False,,,1.309911,
V1_023,Set GPIO 11 high.,gpio_set,set_gpio,"{'pin': 11, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 11, ""state"": true}",,True,,,2.414415,
V1_024,Set GPIO 11 low.,gpio_set,set_gpio,"{'pin': 11, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 11, ""state"": false}",,True,,,2.420494,
V1_025,Set GPIO 12 high.,gpio_set,set_gpio,"{'pin': 12, 'state': True}",CALL,MEDIUM,direct,['full'],,null,,False,,,1.304144,
V1_026,Set GPIO 12 low.,gpio_set,set_gpio,"{'pin': 12, 'state': False}",CALL,MEDIUM,direct,['full'],,null,,False,,,1.300384,
V1_027,Set GPIO 13 high.,gpio_set,set_gpio,"{'pin': 13, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 13, ""state"": true}",,True,,,2.059832,
V1_028,Set GPIO 13 low.,gpio_set,set_gpio,"{'pin': 13, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 13, ""state"": false}",,True,,,2.062402,
V1_029,Set GPIO 14 high.,gpio_set,set_gpio,"{'pin': 14, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 14, ""state"": true}",,True,,,2.065238,
V1_030,Set GPIO 14 low.,gpio_set,set_gpio,"{'pin': 14, 'state': False}",CALL,MEDIUM,direct,['full'],,null,,False,,,1.307137,
V1_031,Set GPIO 15 high.,gpio_set,set_gpio,"{'pin': 15, 'state': True}",CALL,MEDIUM,direct,['full'],get_system_status,"{""description"": ""GPIO 15 high""}",,False,,,1.451161,
V1_032,Set GPIO 15 low.,gpio_set,set_gpio,"{'pin': 15, 'state': False}",CALL,MEDIUM,direct,['full'],get_temperature,{},,False,,,1.380552,
V1_033,Set GPIO 16 high.,gpio_set,set_gpio,"{'pin': 16, 'state': True}",CALL,MEDIUM,direct,['full'],,null,,False,,,1.297717,
