id,query,category,expected_tool,expected_args,expected_action,risk,style,eligible_levels,predicted_tool,predicted_args,confidence,raw_correct,gate_execute,gated_correct,latency_s,reasoning
V1_001,Set GPIO 0 high.,gpio_set,set_gpio,"{'pin': 0, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 0, ""state"": true}",,True,,,1.986441,
V1_002,Set GPIO 0 low.,gpio_set,set_gpio,"{'pin': 0, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 0, ""state"": false}",,True,,,1.969195,
V1_003,Set GPIO 1 high.,gpio_set,set_gpio,"{'pin': 1, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 1, ""state"": true}",,True,,,2.08695,
V1_004,Set GPIO 1 low.,gpio_set,set_gpio,"{'pin': 1, 'state': False}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.464764,
V1_005,Set GPIO 2 high.,gpio_set,set_gpio,"{'pin': 2, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 2, ""state"": true}",,True,,,2.080634,
V1_006,Set GPIO 2 low.,gpio_set,set_gpio,"{'pin': 2, 'state': False}",CALL,MEDIUM,direct,['full'],get_hdmi_status,"{""connector"": ""HDMI-A-1""}",,False,,,1.492643,
V1_007,Set GPIO 3 high.,gpio_set,set_gpio,"{'pin': 3, 'state': True}",CALL,MEDIUM,direct,['full'],,null,,False,,,1.261214,
V1_008,Set GPIO 3 low.,gpio_set,set_gpio,"{'pin': 3, 'state': False}",CALL,MEDIUM,direct,['full'],get_temperature,{},,False,,,1.371465,
V1_009,Set GPIO 4 high.,gpio_set,set_gpio,"{'pin': 4, 'state': True}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 4, ""state"": true}",,True,,,2.443495,
V1_010,Set GPIO 4 low.,gpio_set,set_gpio,"{'pin': 4, 'state': False}",CALL,MEDIUM,direct,['full'],set_gpio,"{""pin"": 4, ""state"": false}",,True,,,2.00919,
